"filename", "language", "Properties", "Dart", "JSON", "YAML", "Markdown", "Django HTML", "Swift", "C++", "XML", "Java", "JavaScript", "comment", "blank", "total"
"d:\Projects\rental_system\lib\pages\support_page.dart", "Dart", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 326
"d:\Projects\rental_system\lib\widget\adaptive.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"d:\Projects\rental_system\lib\widget\cabin_card.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"d:\Projects\rental_system\lib\widget\cabin_data_table.dart", "Dart", 0, 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 637
"d:\Projects\rental_system\lib\widget\cabin_nav_bar.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 171
"d:\Projects\rental_system\lib\widget\cabin_scaffold.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"d:\Projects\rental_system\lib\widget\cabin_search_bar.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 127
"d:\Projects\rental_system\lib\widget\display_util.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"d:\Projects\rental_system\lib\widget\editor\avatar_field.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\Projects\rental_system\lib\widget\editor\custom_radio.dart", "Dart", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 234
"d:\Projects\rental_system\lib\widget\editor\house_editor.dart", "Dart", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 205
"d:\Projects\rental_system\lib\widget\editor\input_field.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 86
"d:\Projects\rental_system\lib\widget\editor\photo_uploader.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"d:\Projects\rental_system\lib\widget\editor\support_request_editor.dart", "Dart", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 186
"d:\Projects\rental_system\lib\widget\editor\user_editor.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 207
"d:\Projects\rental_system\lib\widget\house_card.dart", "Dart", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 101
"d:\Projects\rental_system\pubspec.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 51, 12, 93
"d:\Projects\rental_system\test\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 2, 1, 324
"d:\Projects\rental_system\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"d:\Projects\rental_system\web\index.html", "Django HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"d:\Projects\rental_system\web\manifest.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 2, 5784, 168, 30, 13, 30, 12, 1, 61, 23, 321, 151, 470, 7066
